item_name,text,type,answers,values,score:ius_27,score:ius_12,score:p_iu,score:i_iu,optional,btn_width,reversed?,
IUS16,"Unlike me, others always seem to know where they are going with their lives.",likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,,,,No,150px,no,
IUS17,"Uncertainty makes me vulnerable, unhappy, or sad.",likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,,,,No,150px,no,
IUS18,I always want to know what the future has in store for me.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,1,1,,No,150px,no,
IUS19,I can't stand being taken by surprise.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,1,1,,No,150px,no,
IUS20,The smallest doubt can stop me from acting.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,1,,1,No,150px,no,
IUS21,I should be able to organise everything in advance.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,1,1,,No,150px,no,
IUS22,Being uncertain means that I lack confidence.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,,,,No,150px,no,
IUS23,I think it's unfair that other people seem sure about their future.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,,,,No,150px,no,
IUS24,Uncertainty keeps me from sleeping soundly.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,,,,No,150px,no,
IUS25,I must get away from all uncertain situations.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,1,,1,No,150px,no,
IUS26,The ambiguities in life stress me.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,,,,No,150px,no,
IUS27,I can't stand being undecided about my future.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,,,,No,150px,no,
,,,,,,,,,,,,
